img_id,light_brown,middle_brown,dark_brown,white,black,blue_grey,mean_R,mean_G,mean_B,std_R,std_G,std_B
PAT_880_1673_410,,,,,,,,,,,,
PAT_236_1071_810,0.0,0.8333333333333334,0.1666666666666666,0.0,0.0,0.0,158.16009685723915,90.54752640407692,69.53587244687809,20.903996096284036,18.87788588977621,16.817950641577657
PAT_1636_2869_595,0.0,1.0,0.0,0.0,0.0,0.0,148.7261153198653,104.44424569771776,96.20891788252942,0.0,0.0,0.0
PAT_724_1369_896,,,,,,,,,,,,
PAT_679_1286_677,0.0,1.0,0.0,0.0,0.0,0.0,184.4298531810767,100.79472539423593,97.25530179445352,0.0,0.0,0.0
PAT_1401_1374_593,0.0,0.5882352941176471,0.0588235294117647,0.0,0.0,0.1764705882352941,153.49837931466385,130.6560454738643,121.60221010115087,30.907444239840757,40.002879978403975,37.287481471264016
PAT_237_362_909,0.4,0.6,0.0,0.0,0.0,0.0,181.39014614884923,116.2977886727991,95.02102635645512,10.173014674745644,14.469601421803056,16.763058228965058
PAT_801_1518_78,0.0,1.0,0.0,0.0,0.0,0.0,130.20019510410634,95.14733408529698,91.2104075846718,0.0,0.0,0.0
PAT_833_1571_134,0.0,0.5,0.5,0.0,0.0,0.0,133.0569054167325,61.25315010402499,45.61711521339079,24.881202920127578,17.794882058480333,12.707577973236289
PAT_2090_4532_178,0.0,1.0,0.0,0.0,0.0,0.0,146.847168037603,103.34488836662734,97.1909400705056,0.0,0.0,0.0
PAT_242_368_261,0.0,1.0,0.0,0.0,0.0,0.0,189.4801821259705,88.95943027260519,61.02807775377972,0.0,0.0,0.0
PAT_1755_3309_828,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,145.1298301756666,119.80891108886568,114.2872947188971,5.891429423364741,13.36113993417274,15.882189381499323
PAT_1554_4170_992,0.0,1.0,0.0,0.0,0.0,0.0,134.06586345381515,115.8352409638557,110.7440763052209,0.0,0.0,0.0
PAT_797_1511_805,,,,,,,,,,,,
PAT_217_1290_283,0.0,0.5,0.0,0.0,0.0,0.5,143.76348587055975,119.32581717802591,123.30071276290084,13.394997366978814,15.339914426423531,25.819772946340336
PAT_319_679_533,0.0,1.0,0.0,0.0,0.0,0.0,158.3261748095954,76.49559608310454,65.01202010258517,0.0,0.0,0.0
PAT_1381_1314_517,0.0,1.0,0.0,0.0,0.0,0.0,136.9844544222298,105.3930870891223,104.25398170111824,0.0,0.0,0.0
PAT_156_241_538,0.0,0.5454545454545454,0.0,0.0,0.0,0.4545454545454545,152.87981292836594,124.64751399835916,118.76085404824848,6.427353911972304,12.436977144398533,14.045849668320344
PAT_742_1470_425,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.0,0.0,0.0,141.6976607924457,115.81774265269752,107.37616080006656,27.30244088076477,35.40171625372292,30.8399305882062
PAT_849_1612_143,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,148.13949913018757,116.85104897550396,129.3850647687407,14.377714858873546,25.585530467566628,33.07416406270517
PAT_738_1552_843,0.0,1.0,0.0,0.0,0.0,0.0,177.10733692479056,118.82409908682573,77.41243684460355,0.0,0.0,0.0
PAT_2093_4542_192,0.25,0.0,0.0,0.0,0.0,0.0,202.5632154882157,168.0385690235687,163.6258754208753,0.0,0.0,0.0
PAT_1818_3568_132,0.0,1.0,0.0,0.0,0.0,0.0,160.258119596931,87.54400672978728,61.78201213509599,0.0,0.0,0.0
PAT_963_1819_298,0.0,1.0,0.0,0.0,0.0,0.0,152.95117232249692,106.15157455258245,116.1431226292608,0.0,0.0,0.0
PAT_398_799_163,0.0,0.4545454545454545,0.0909090909090909,0.0,0.4545454545454545,0.0,97.66922246504804,77.41651209961806,73.27863092842799,33.80963324154312,33.79269119715999,31.65390713635018
PAT_985_1856_397,0.0,0.6,0.0,0.0,0.0,0.4,142.34488070442058,117.87126743249388,117.51928941830504,15.585236319205949,23.96353789612689,24.371782930263294
PAT_196_300_749,0.0,0.5,0.1333333333333333,0.0,0.0,0.3666666666666666,113.21863787798712,92.90646219597346,100.0670198409003,19.897853981402243,17.690585935371608,14.70470991710583
PAT_2022_4184_111,0.0,1.0,0.0,0.0,0.0,0.0,129.77081673306773,110.92888446215136,99.59043824701196,0.0,0.0,0.0
PAT_1061_254_813,0.0,0.5,0.0,0.0,0.0,0.5,145.04284161925744,132.90391553217194,130.96738337223582,4.460161163809786,12.330740978740517,9.154680980090966
PAT_531_1004_189,0.0,1.0,0.0,0.0,0.0,0.0,136.8441590824087,94.47176162573248,88.24735070440097,0.0,0.0,0.0
PAT_1837_3608_851,0.0,0.8571428571428571,0.1428571428571428,0.0,0.0,0.0,120.57250653823904,85.0350066466302,70.92653075601895,9.940134275757885,12.873096971705984,9.885793388713548
PAT_400_801_376,0.0,1.0,0.0,0.0,0.0,0.0,161.67902211401932,98.947697301684,76.1344086021508,0.0,0.0,0.0
PAT_935_1786_482,,,,,,,,,,,,
PAT_330_1440_532,0.0,0.0,0.0,0.0,0.0,0.6,169.7555968587268,146.3072118685215,157.06449992464977,0.0,0.0,0.0
PAT_1393_1356_371,0.0,0.5,0.0,0.0,0.0,0.4,148.970126509369,124.14392697831758,121.97326636819754,19.44104324275736,25.348450597212576,26.380191908628703
PAT_416_826_123,0.0,1.0,0.0,0.0,0.0,0.0,174.8045013633725,84.036162889455,85.16300120691953,0.0,0.0,0.0
PAT_860_1641_440,0.0,1.0,0.0,0.0,0.0,0.0,130.93957024280513,91.94957722442012,89.4547358622295,0.0,0.0,0.0
PAT_112_171_863,0.0,0.8,0.0,0.0,0.0,0.2,132.48530277657164,98.35702036857,104.2046767551144,8.804817453433955,11.15885189299042,14.168986695913835
PAT_761_1435_561,0.1,0.4,0.0,0.0,0.0,0.3,174.07497596654127,135.0192906742218,138.77524332235464,23.32977657809127,37.40781244826834,38.27005785850169
PAT_201_306_781,0.0,0.8,0.2,0.0,0.0,0.0,131.66954469497276,76.30926563231205,71.71585257678427,21.448758318813702,20.791209033264117,22.597245013549312
PAT_2092_4537_438,0.0,0.0,1.0,0.0,0.0,0.0,102.68362345335608,85.60795379275552,79.69941446095993,0.0,0.0,0.0
PAT_1566_2435_150,0.0,1.0,0.0,0.0,0.0,0.0,190.6996014540358,93.0448473700347,86.55529277799678,0.0,0.0,0.0
PAT_1070_304_845,0.25,0.75,0.0,0.0,0.0,0.0,176.1140506675982,121.86826392623996,109.22557711644863,16.794160939192153,18.62646282352225,15.32876274029948
PAT_912_1729_244,0.0,1.0,0.0,0.0,0.0,0.0,146.59115751121075,92.37591087443946,83.42362668161437,0.0,0.0,0.0
PAT_193_297_295,0.5,0.25,0.0,0.0,0.0,0.25,187.6855268933147,141.01065559957462,131.6327465936284,5.26366821923314,17.0349706607246,21.91938591669973
PAT_1701_3136_33,0.0,1.0,0.0,0.0,0.0,0.0,129.36699789575232,93.74600615640172,81.89141205086023,0.0,0.0,0.0
PAT_343_717_927,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,173.67484402714237,164.80940867094313,162.74093063068725,0.0,0.0,0.0
PAT_954_1808_415,0.1538461538461538,0.7692307692307693,0.0,0.0,0.0,0.0769230769230769,164.8011527946503,95.787923635822,79.02176900504156,24.1902775161778,32.34771833968613,35.387860185772105
PAT_493_3016_512,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,207.09388360763128,164.7003025809766,134.9111057441486,20.322130676120597,27.46107635048891,24.21456380673737
PAT_619_1175_767,0.1666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,176.19290875153428,144.72611031745396,147.08897692135156,6.224216988581276,12.768366380021902,10.870153524181816
PAT_336_705_711,0.0,1.0,0.0,0.0,0.0,0.0,170.1229552889859,97.60625681570346,98.77692202835334,0.0,0.0,0.0
PAT_1572_2494_224,0.0,0.8461538461538461,0.0,0.0,0.0,0.1538461538461538,147.94502097172568,115.87922014812156,116.17801472034512,15.031870449610096,23.88779473000456,24.949557296115596
PAT_2021_4180_381,0.0,1.0,0.0,0.0,0.0,0.0,134.76976624467466,96.71483233491702,86.16096770145178,0.0,0.0,0.0
PAT_1276_957_406,0.0,1.0,0.0,0.0,0.0,0.0,148.60694234878594,102.78594679881444,74.3771417191967,0.0,0.0,0.0
PAT_1708_3157_518,0.0,0.8571428571428571,0.1428571428571428,0.0,0.0,0.0,121.46386778402912,86.14362520700509,74.23140586929831,15.560147749423235,15.097671291155308,13.991989688681514
PAT_1980_4018_929,0.0,1.0,0.0,0.0,0.0,0.0,185.17883069237385,117.20560455858238,107.11607212551708,0.0,0.0,0.0
PAT_1249_862_658,0.0,0.2222222222222222,0.4444444444444444,0.0,0.3333333333333333,0.0,100.07223066833969,81.58956241072372,64.0021479996927,27.824537269643358,25.72448110521024,20.953364609159543
PAT_340_714_68,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.5555555555555556,65.90428365533405,93.83806724533456,105.20110509828156,32.329184579096385,29.656672232629447,28.853740197768943
PAT_155_240_211,0.0526315789473684,0.631578947368421,0.2105263157894736,0.0,0.0,0.0,179.45386933855306,105.43981483356912,70.97086314666515,45.80415862956476,44.53335514117714,36.52704646191636
PAT_377_1580_534,0.0,1.0,0.0,0.0,0.0,0.0,139.9436405642024,80.24160992217898,68.38041099221786,0.0,0.0,0.0
