color_light_brown,color_middle_brown,color_dark_brown,color_white,color_black,color_blue_grey,color_mean_R,color_mean_G,color_mean_B,color_std_R,color_std_G,color_std_B,asym_asymmetry_score,asym_asymmetry_index,border_compactness,border_Convexity,border_Solidity,border_fractal_dimension,haralick_Angular Second Moment (Energy),haralick_Contrast,haralick_Correlation,haralick_Sum of Squares: Variance,haralick_Inverse Difference Moment,haralick_Sum Average,haralick_Sum Variance,haralick_Sum Entropy,haralick_Entropy,haralick_Difference Variance,haralick_Difference Entropy,haralick_Information Measure of Corelation 1,haralick_Information Measure of Corelation 2
0.0,0.8333333333333334,0.1666666666666666,0.0,0.0,0.0,0.5732209752287867,0.4005397703414759,0.3110411510757543,0.36337335381588987,0.32513134214968964,0.2883997070042268,0.4908164840223417,24.95755517811719,0.7326295014210809,1.0839634499710864,0.9667263503431812,1.2180060241550072,0.0210813724691037,0.362364024981116,0.769488685207068,0.206676328964395,0.0639738303415496,0.455242019661553,0.197420956884123,0.683582165742917,0.781033293033701,0.0472693598095511,0.857261041054401,0.763719861290947,0.87477521104209
0.0,1.0,0.0,0.0,0.0,0.0,0.5285268202245349,0.4803186878127792,0.4655710949148632,0.0,0.0,0.0,0.2438038232365803,10.302096913593298,0.7104217119409953,1.1136642680994293,0.9413732762510592,1.255478054484371,0.0968085651427085,0.0907866524041541,0.795332946936021,0.0559180623809431,0.283331215494376,0.518265233460342,0.0536922823811775,0.452830240430149,0.554639676063385,0.217862967801604,0.562023088060332,0.803606456027154,0.743271211779023
0.0,1.0,0.0,0.0,0.0,0.0,0.6976758044448673,0.45936735585095734,0.47163330657846464,0.0,0.0,0.0,1.999999999978676,99.9999999989338,0.7818423259869625,1.068800593975911,0.9486716533402116,1.1050488502895768,0.0241768293396573,0.299959868132725,0.852506411169464,0.2672704905944,0.101460304408277,0.565771806519861,0.259780571195707,0.732817408121055,0.751004230914845,0.0654322883293107,0.802675215200356,0.614310303998946,0.958318958756442
0.0,0.5882352941176471,0.0588235294117647,0.0,0.0,0.1764705882352941,0.5511357585460435,0.6307965788120191,0.6126868050387917,0.5372629051200881,0.6889643328268691,0.6394179029549878,0.4156175105418758,27.79176652608849,0.8271130226637455,1.0495125986865863,0.988055093446038,1.0866774363947516,0.059247546763352,0.0321341220542437,0.990448136353263,0.369588713438817,0.466567584323479,0.550709905738383,0.369427034972819,0.774384915435788,0.627871243989484,0.26665671519651,0.363659211517577,0.34724978976294,0.994223774393772
0.4,0.6,0.0,0.0,0.0,0.0,0.6832749773150203,0.5483680458497007,0.45868906071842824,0.1768371197427514,0.24920803940179212,0.2874583939957862,0.569776609718175,25.203679368991228,0.791905504544048,1.069578361494356,0.9505370971771172,1.144410806975867,0.080497924318396,0.0962346389111256,0.861742884909112,0.090231445296453,0.275756951050452,0.611252940603337,0.0879139833286981,0.520781173881608,0.553450475427197,0.202921462976912,0.565031634018128,0.647725680608389,0.911549536729597
0.0,1.0,0.0,0.0,0.0,0.0,0.44075896246062995,0.4269465552545054,0.43661229013681085,0.0,0.0,0.0,0.6068042557079566,42.68512026336503,0.6492358902528407,1.1189336632937497,0.947817041809934,1.193133056067071,0.0997862758796244,0.0478310542334499,0.939086165807949,0.104410504757284,0.414894880963828,0.450343244913859,0.103410660294961,0.558691673700059,0.544476949122523,0.271513768737482,0.435810994940518,0.568790526685391,0.948937054939561
0.0,0.5,0.5,0.0,0.0,0.0,0.45429282968402285,0.23236528398737694,0.1724681403219182,0.4325089858616868,0.3064789098128048,0.21791369485615986,0.2463074901440389,12.367936925073062,0.8581150806967343,1.0549138492938697,0.9855470368835476,1.27202267224938,0.0296902888708728,0.190933577791924,0.86007659151866,0.178619836528872,0.179117652817983,0.307672398856806,0.17390763617517,0.654514711042816,0.737025130515872,0.163258602976527,0.709190585349313,0.746834068544925,0.879428562421595
0.0,1.0,0.0,0.0,0.0,0.0,0.5196251745359611,0.47400744730087874,0.4712604277629933,0.0,0.0,0.0,1.0590128853259224,34.17391619305964,0.6421168744478606,1.046692349649199,0.9716830326558576,1.1764685675665172,0.37816613603277,0.0147158179506267,0.895102167224862,0.0181655185840541,0.621979190992458,0.512624485552671,0.0179158369359542,0.263461357347191,0.253050767249486,0.560402567490978,0.236512813083791,0.55978757543361,0.891905173563249
0.0,1.0,0.0,0.0,0.0,0.0,0.7216020951410409,0.3914227559201545,0.2617513525302192,0.0,0.0,0.0,0.8606619578522123,61.15813437613693,0.8828968207548955,1.0522706965798982,0.9890877598152424,1.1019112207282966,0.213600881379099,0.0167893493309933,0.942619515499817,0.041890070787559,0.533036844948311,0.513467748237616,0.0416223101943857,0.400824228044905,0.356676892629999,0.423593923553682,0.273227173742679,0.496597363164113,0.94730433379444
0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5114891649103346,0.5685248569318098,0.5703079373562643,0.102410489290046,0.2301171532030538,0.2723529674826282,0.1890640436657552,13.369678837751596,0.7656361719294257,1.094938194677683,0.9598947879721024,1.2709782805244332,0.275378206469939,0.0078330888678897,0.974621769835896,0.0532681853036985,0.67732943910731,0.559606134752998,0.0532580312073785,0.418342361069129,0.306820036419426,0.552074090393247,0.166636827186487,0.352204902327475,0.977975383770417
